year,zone,sex,age_group,population,hypertension_count,prevalence_rate
2001-01-01T00:00:00.000,Zone 2 - Northern,M,70 to 79,4485,2511,55.99
2001-01-01T00:00:00.000,Zone 2 - Northern,M,80 +,2360,1452,61.53
2001-01-01T00:00:00.000,Zone 1 - Western,F,20 to 29,11695,218,1.86
2001-01-01T00:00:00.000,Zone 1 - Western,F,30 to 39,15336,827,5.39
2001-01-01T00:00:00.000,Zone 1 - Western,F,40 to 49,17773,2166,12.19
2001-01-01T00:00:00.000,Zone 1 - Western,F,50 to 59,14817,4331,29.23
2001-01-01T00:00:00.000,Zone 1 - Western,F,60 to 69,9870,4587,46.47
2001-01-01T00:00:00.000,Zone 1 - Western,F,70 to 79,7789,4750,60.98
2001-01-01T00:00:00.000,Zone 1 - Western,F,80 +,6378,4050,63.50
2001-01-01T00:00:00.000,Zone 1 - Western,M,20 to 29,11613,138,1.19
2001-01-01T00:00:00.000,Zone 1 - Western,M,30 to 39,14477,659,4.55
2001-01-01T00:00:00.000,Zone 1 - Western,M,40 to 49,17043,1997,11.72
2001-01-01T00:00:00.000,Zone 1 - Western,M,50 to 59,14677,3662,24.95
2001-01-01T00:00:00.000,Zone 1 - Western,M,60 to 69,9814,3835,39.08
2001-01-01T00:00:00.000,Zone 1 - Western,M,70 to 79,6552,3310,50.52
2001-01-01T00:00:00.000,Zone 1 - Western,M,80 +,3584,1873,52.26
2002-01-01T00:00:00.000,Zone 4 - Central,F,20 to 29,30258,414,1.37
2002-01-01T00:00:00.000,Zone 4 - Central,F,30 to 39,33899,1634,4.82
2002-01-01T00:00:00.000,Zone 4 - Central,F,40 to 49,34838,4165,11.96
2002-01-01T00:00:00.000,Zone 4 - Central,F,50 to 59,26205,7576,28.91
2002-01-01T00:00:00.000,Zone 4 - Central,F,60 to 69,15863,7817,49.28
2002-01-01T00:00:00.000,Zone 4 - Central,F,70 to 79,12145,7942,65.39
2002-01-01T00:00:00.000,Zone 4 - Central,F,80 +,9050,6469,71.48
2002-01-01T00:00:00.000,Zone 4 - Central,M,20 to 29,28497,366,1.28
2002-01-01T00:00:00.000,Zone 4 - Central,M,30 to 39,30897,1414,4.58
2002-01-01T00:00:00.000,Zone 4 - Central,M,40 to 49,32471,3792,11.68
2002-01-01T00:00:00.000,Zone 4 - Central,M,50 to 59,24789,6669,26.90
2002-01-01T00:00:00.000,Zone 4 - Central,M,60 to 69,14870,6624,44.55
2002-01-01T00:00:00.000,Zone 4 - Central,M,70 to 79,9313,5458,58.61
2002-01-01T00:00:00.000,Zone 4 - Central,M,80 +,4498,2811,62.49
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,20 to 29,10260,206,2.01
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,30 to 39,11819,836,7.07
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,40 to 49,15360,2487,16.19
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,50 to 59,13118,4517,34.43
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,60 to 69,8870,4673,52.68
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,70 to 79,6780,4577,67.51
2002-01-01T00:00:00.000,Zone 3 - Eastern,F,80 +,5837,4178,71.58
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,20 to 29,10498,161,1.53
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,30 to 39,11609,720,6.20
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,40 to 49,15022,2228,14.83
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,50 to 59,13492,4030,29.87
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,60 to 69,8727,4044,46.34
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,70 to 79,5533,3258,58.88
2002-01-01T00:00:00.000,Zone 3 - Eastern,M,80 +,2891,1802,62.33
2002-01-01T00:00:00.000,Zone 2 - Northern,F,20 to 29,9584,186,1.94
2002-01-01T00:00:00.000,Zone 2 - Northern,F,30 to 39,11382,757,6.65
2002-01-01T00:00:00.000,Zone 2 - Northern,F,40 to 49,13209,2044,15.47
2002-01-01T00:00:00.000,Zone 2 - Northern,F,50 to 59,10774,3569,33.13
2002-01-01T00:00:00.000,Zone 2 - Northern,F,60 to 69,7197,3760,52.24
2002-01-01T00:00:00.000,Zone 2 - Northern,F,70 to 79,5700,3843,67.42
